,helix_id,x,y,z,true_alpha,true_kappa,true_tan_lambda,r,curve_fit_alpha,curve_fit_kappa,curve_fit_tan_lambda,curve_fit_chi_sq
9514,951,-0.08349206156030858,5.46842524199672,5290.804368425007,1.9662742144338803,0.010983361508956454,0.3616823884427256,5.4690625843603655,1.815836860826476,0.010132108814384887,0.36129269866303265,0.0006640576692378466
9515,951,-0.09520693637750548,-5.842095760546938,6100.382852408208,1.9662742144338803,0.010983361508956454,0.3616823884427256,5.8428714889286155,1.815836860826476,0.010132108814384887,0.36129269866303265,0.0006640576692378466
9516,951,-0.12188990607822507,6.6063430259478135,6104.8821124460865,1.9662742144338803,0.010983361508956454,0.3616823884427256,6.607467391194077,1.815836860826476,0.010132108814384887,0.36129269866303265,0.0006640576692378466
9517,951,-0.1630256955811461,7.6494464704257945,6105.252547018774,1.9662742144338803,0.010983361508956454,0.3616823884427256,7.651183482398613,1.815836860826476,0.010132108814384887,0.36129269866303265,0.0006640576692378466
9518,951,-0.20913187109018624,8.65209906280704,6105.622610786084,1.9662742144338803,0.010983361508956454,0.3616823884427256,8.65462618095849,1.815836860826476,0.010132108814384887,0.36129269866303265,0.0006640576692378466
9519,951,-0.2616564730739235,9.680976576356949,6105.992304119193,1.9662742144338803,0.010983361508956454,0.3616823884427256,9.684511943400834,1.815836860826476,0.010132108814384887,0.36129269866303265,0.0006640576692378466
9520,952,-0.003223974411934771,0.8173514313762827,5134.1876313064395,1.8883489123321084,0.01834742854181691,0.8820267143215601,0.8173577897003655,1.5784746145446715,0.015326445867620334,0.881439746891499,0.0012045333744765657
9521,952,-0.009023675905753214,-1.369430049468622,5702.660865967875,1.8883489123321084,0.01834742854181691,0.8820267143215601,1.3694597792978385,1.5784746145446715,0.015326445867620334,0.881439746891499,0.0012045333744765657
9522,952,-0.04701194347642583,-3.1181773387582417,7412.277256744602,1.8883489123321084,0.01834742854181691,0.8820267143215601,3.118531712004042,1.5784746145446715,0.015326445867620334,0.881439746891499,0.0012045333744765657
9523,952,-0.08245616702163054,4.117172817883047,8559.421487713145,1.8883489123321084,0.01834742854181691,0.8820267143215601,4.117998425424046,1.5784746145446715,0.015326445867620334,0.881439746891499,0.0012045333744765657
9524,952,-0.10789634772298219,4.7141756419562535,8559.94055599048,1.8883489123321084,0.01834742854181691,0.8820267143215601,4.715410226593823,1.5784746145446715,0.015326445867620334,0.881439746891499,0.0012045333744765657
9525,952,-0.16763723046690268,5.860702791800805,8560.977653369418,1.8883489123321084,0.01834742854181691,0.8820267143215601,5.863099816211589,1.5784746145446715,0.015326445867620334,0.881439746891499,0.0012045333744765657
9526,952,-0.24224617007148422,7.060513860750059,8562.012674477328,1.8883489123321084,0.01834742854181691,0.8820267143215601,7.064668370472743,1.5784746145446715,0.015326445867620334,0.881439746891499,0.0012045333744765657
9527,952,-0.32916834807814144,8.227732039486337,8563.045623470907,1.8883489123321084,0.01834742854181691,0.8820267143215601,8.234313955331464,1.5784746145446715,0.015326445867620334,0.881439746891499,0.0012045333744765657
9528,952,-0.3779859382290638,8.820932753577457,8563.56106398472,1.8883489123321084,0.01834742854181691,0.8820267143215601,8.829027580239767,1.5784746145446715,0.015326445867620334,0.881439746891499,0.0012045333744765657
9529,952,-0.484086845043724,9.973950132620223,8564.590913099406,1.8883489123321084,0.01834742854181691,0.8820267143215601,9.985690828457455,1.5784746145446715,0.015326445867620334,0.881439746891499,0.0012045333744765657
9530,953,-0.00395864191439962,-1.0395401614041688,1339.1973228194165,1.822954476538833,0.013466215532488019,0.39373686316443646,1.0395476987700043,1.9734147606957608,0.014582089647147637,0.39385624018558063,0.0007498909449556789
9531,953,-0.02093111408438465,2.380661425403357,2010.3421424389533,1.822954476538833,0.013466215532488019,0.39373686316443646,2.380753438292247,1.9734147606957608,0.014582089647147637,0.39385624018558063,0.0007498909449556789
9532,953,-0.03856468832915117,3.231765904964944,3685.1810166246432,1.822954476538833,0.013466215532488019,0.39373686316443646,3.231995993141051,1.9734147606957608,0.014582089647147637,0.39385624018558063,0.0007498909449556789
9533,953,-0.06276921224167889,4.111154260991729,4355.338105832542,1.822954476538833,0.013466215532488019,0.39373686316443646,4.111633414067442,1.9734147606957608,0.014582089647147637,0.39385624018558063,0.0007498909449556789
9534,953,-0.11176040058729791,5.499950237648552,5025.678148108746,1.822954476538833,0.013466215532488019,0.39373686316443646,5.501085620470726,1.9734147606957608,0.014582089647147637,0.39385624018558063,0.0007498909449556789
9535,953,-0.14526368004671034,6.266696973681565,5025.982886753054,1.822954476538833,0.013466215532488019,0.39373686316443646,6.268380372687223,1.9734147606957608,0.014582089647147637,0.39385624018558063,0.0007498909449556789
9536,953,-0.18354255558052215,7.049085205188912,5026.287320353672,1.822954476538833,0.013466215532488019,0.39373686316443646,7.051474320999987,1.9734147606957608,0.014582089647147637,0.39385624018558063,0.0007498909449556789
9537,953,-0.2260345268587473,7.823194282219153,5026.591449215952,1.822954476538833,0.013466215532488019,0.39373686316443646,7.826458993994584,1.9734147606957608,0.014582089647147637,0.39385624018558063,0.0007498909449556789
